C:\Code\GraphicsPractice\QtOpenGLPractice\build\Release>2DRenderer.exe PersistMapOperation  CirNumDim=400 PersistMem=64
wait count is (ms): 0.173943
wait count is (ms): 0.160383
wait count is (ms): 0.16219
wait count is (ms): 0.190887
wait count is (ms): 0.167517
wait count is (ms): 0.175107
wait count is (ms): 0.145233
wait count is (ms): 0.112273
wait count is (ms): 0.11775
wait count is (ms): 0.113253
wait count is (ms): 0.109053
wait count is (ms): 0.113123
wait count is (ms): 0.0991
wait count is (ms): 0.118177
wait count is (ms): 0.120567
wait count is (ms): 0.122943
wait count is (ms): 0.12527
wait count is (ms): 0.125137
wait count is (ms): 0.108877
wait count is (ms): 0.11325
wait count is (ms): 0.12138
wait count is (ms): 0.10852
wait count is (ms): 0.102383
wait count is (ms): 0.11817
wait count is (ms): 0.10971
wait count is (ms): 0.231837
wait count is (ms): 0.151377
wait count is (ms): 0.202017
wait count is (ms): 0.231157
wait count is (ms): 0.219333
wait count is (ms): 0.211
wait count is (ms): 0.231077
wait count is (ms): 0.17121
wait count is (ms): 0.18623
wait count is (ms): 0.23393
wait count is (ms): 0.17516
wait count is (ms): 0.246467
wait count is (ms): 0.182443
wait count is (ms): 0.261293
wait count is (ms): 0.120073
wait count is (ms): 0.128883
wait count is (ms): 0.165767
wait count is (ms): 0.152057
wait count is (ms): 0.14769
wait count is (ms): 0.109953
wait count is (ms): 0.145003
wait count is (ms): 0.120047
wait count is (ms): 0.135233
wait count is (ms): 0.141577
wait count is (ms): 0.164857
wait count is (ms): 0.243663
wait count is (ms): 0.109723
wait count is (ms): 0.120417
wait count is (ms): 0.108303
wait count is (ms): 0.208887
wait count is (ms): 0.13677
wait count is (ms): 0.0974767
wait count is (ms): 0.126517
wait count is (ms): 0.117553
wait count is (ms): 0.102143
wait count is (ms): 0.15411
wait count is (ms): 0.23097
wait count is (ms): 0.147467
wait count is (ms): 0.12562
wait count is (ms): 0.15722
wait count is (ms): 0.10082
wait count is (ms): 0.223367
wait count is (ms): 0.105607
wait count is (ms): 0.11252
wait count is (ms): 0.133683
wait count is (ms): 0.20228
wait count is (ms): 0.124987
wait count is (ms): 0.10913
wait count is (ms): 0.157557
wait count is (ms): 0.160343
wait count is (ms): 0.103327
wait count is (ms): 0.136683
wait count is (ms): 0.0977067
wait count is (ms): 0.0990233
wait count is (ms): 0.180623
wait count is (ms): 0.12412
wait count is (ms): 0.0977467
wait count is (ms): 0.105687
wait count is (ms): 0.146277
wait count is (ms): 0.183667
wait count is (ms): 0.128127
wait count is (ms): 0.171787
wait count is (ms): 0.152683
wait count is (ms): 0.151223
wait count is (ms): 0.170973
wait count is (ms): 0.1082
wait count is (ms): 0.219507
wait count is (ms): 0.11779
wait count is (ms): 0.100503
wait count is (ms): 0.111373
wait count is (ms): 0.160223
wait count is (ms): 0.14665
wait count is (ms): 0.107687
wait count is (ms): 0.12257
wait count is (ms): 0.106193
wait count is (ms): 0.134493
wait count is (ms): 0.16762
wait count is (ms): 0.111177
wait count is (ms): 0.10541
wait count is (ms): 0.132323
wait count is (ms): 0.201337
wait count is (ms): 0.101363
wait count is (ms): 0.11322
wait count is (ms): 0.162473
wait count is (ms): 0.101973
wait count is (ms): 0.166587
wait count is (ms): 0.129457
wait count is (ms): 0.119507
wait count is (ms): 0.147193
wait count is (ms): 0.11395
wait count is (ms): 0.120267
wait count is (ms): 0.17269
wait count is (ms): 0.120087
wait count is (ms): 0.112497
wait count is (ms): 0.148203
wait count is (ms): 0.19911
wait count is (ms): 0.106217
wait count is (ms): 0.128657
wait count is (ms): 0.129777
wait count is (ms): 0.141787
wait count is (ms): 0.11401
wait count is (ms): 0.149607
wait count is (ms): 0.10968
wait count is (ms): 0.134043
wait count is (ms): 0.134373
wait count is (ms): 0.0991133
wait count is (ms): 0.11212
wait count is (ms): 0.23004
wait count is (ms): 0.10591
wait count is (ms): 0.158253
wait count is (ms): 0.200183
wait count is (ms): 0.11593
wait count is (ms): 0.168703
wait count is (ms): 0.105033
wait count is (ms): 0.179347
wait count is (ms): 0.14136
wait count is (ms): 0.108743
wait count is (ms): 0.199553
wait count is (ms): 0.107473
wait count is (ms): 0.108393
wait count is (ms): 0.157843
wait count is (ms): 0.18239
wait count is (ms): 0.110027
wait count is (ms): 0.13114
wait count is (ms): 0.10394
wait count is (ms): 0.145107
wait count is (ms): 0.12883
wait count is (ms): 0.189543
wait count is (ms): 0.125077
wait count is (ms): 0.197623
wait count is (ms): 0.10457
wait count is (ms): 0.144787
wait count is (ms): 0.156017
wait count is (ms): 0.11972
wait count is (ms): 0.176413
wait count is (ms): 0.10716
wait count is (ms): 0.176327
wait count is (ms): 0.20201
wait count is (ms): 0.11002
wait count is (ms): 0.127357
wait count is (ms): 0.158333
wait count is (ms): 0.0998333
wait count is (ms): 0.12364
wait count is (ms): 0.168793
wait count is (ms): 0.113423
wait count is (ms): 0.145863
wait count is (ms): 0.103583
wait count is (ms): 0.124623
wait count is (ms): 0.122063
wait count is (ms): 0.106537
wait count is (ms): 0.143147
wait count is (ms): 0.13006
wait count is (ms): 0.15047
wait count is (ms): 0.199913
wait count is (ms): 0.15945
wait count is (ms): 0.1515
wait count is (ms): 0.189607
wait count is (ms): 0.21233
wait count is (ms): 0.0981033
wait count is (ms): 0.25648
wait count is (ms): 0.107877
wait count is (ms): 0.165993
wait count is (ms): 0.127077
wait count is (ms): 0.178897
wait count is (ms): 0.147297
wait count is (ms): 0.109363
wait count is (ms): 0.0974133
wait count is (ms): 0.187117
wait count is (ms): 0.129483
wait count is (ms): 0.0992733
wait count is (ms): 0.13447
wait count is (ms): 0.120097
wait count is (ms): 0.186543
wait count is (ms): 0.120027
wait count is (ms): 0.15617
wait count is (ms): 0.139097
wait count is (ms): 0.131313
wait count is (ms): 0.18307
wait count is (ms): 0.19776
wait count is (ms): 0.23906
wait count is (ms): 0.13815
wait count is (ms): 0.103837
wait count is (ms): 0.11652
wait count is (ms): 0.15929
wait count is (ms): 0.11466
wait count is (ms): 0.126217
wait count is (ms): 0.160557
wait count is (ms): 0.154683
wait count is (ms): 0.19716
wait count is (ms): 0.109747
wait count is (ms): 0.190813
wait count is (ms): 0.134827
wait count is (ms): 0.09436
wait count is (ms): 0.124707
wait count is (ms): 0.133997
wait count is (ms): 0.109083
wait count is (ms): 0.117713
wait count is (ms): 0.132943
wait count is (ms): 0.132467
wait count is (ms): 0.110297
wait count is (ms): 0.15883
wait count is (ms): 0.103323
wait count is (ms): 0.238333
wait count is (ms): 0.292387
wait count is (ms): 0.129203
wait count is (ms): 0.392363
wait count is (ms): 0.104697
wait count is (ms): 0.14008
wait count is (ms): 0.188507
wait count is (ms): 0.19048
wait count is (ms): 0.180507
wait count is (ms): 0.143333
wait count is (ms): 0.159407
wait count is (ms): 0.0934067
wait count is (ms): 0.12982
wait count is (ms): 0.26828
wait count is (ms): 0.179003
wait count is (ms): 0.277777
wait count is (ms): 0.201727
wait count is (ms): 0.200513
wait count is (ms): 0.14937
wait count is (ms): 0.18761
wait count is (ms): 0.123547
wait count is (ms): 0.191923
wait count is (ms): 0.159727
wait count is (ms): 0.101227
wait count is (ms): 0.122093
wait count is (ms): 0.236977
wait count is (ms): 0.15982
wait count is (ms): 0.237263
wait count is (ms): 0.155753
wait count is (ms): 0.144137
wait count is (ms): 0.171327
wait count is (ms): 0.103753
wait count is (ms): 0.17908
wait count is (ms): 0.266693
wait count is (ms): 0.13746
wait count is (ms): 0.19215
wait count is (ms): 0.146693
wait count is (ms): 0.176183
wait count is (ms): 0.185413
wait count is (ms): 0.137447
wait count is (ms): 0.1681
wait count is (ms): 0.208077
wait count is (ms): 0.11099
wait count is (ms): 0.238187
wait count is (ms): 0.157137
wait count is (ms): 0.12955
wait count is (ms): 0.25423
wait count is (ms): 0.101817
wait count is (ms): 0.182177
wait count is (ms): 0.146813
wait count is (ms): 0.13066
wait count is (ms): 0.182247
wait count is (ms): 0.415033
wait count is (ms): 0.164427
wait count is (ms): 0.163503
wait count is (ms): 0.202403
wait count is (ms): 0.130827
wait count is (ms): 0.14366
wait count is (ms): 0.156393
wait count is (ms): 0.12364
wait count is (ms): 0.167027
wait count is (ms): 0.135497
wait count is (ms): 0.148917
wait count is (ms): 0.18272
wait count is (ms): 0.22181
wait count is (ms): 0.194817
wait count is (ms): 0.149127
wait count is (ms): 0.14284
wait count is (ms): 0.117893
wait count is (ms): 0.17463
wait count is (ms): 0.221593
wait count is (ms): 0.113197
wait count is (ms): 0.174913
wait count is (ms): 0.23663
wait count is (ms): 0.112927
wait count is (ms): 0.164223
wait count is (ms): 0.193017
wait count is (ms): 0.13209
wait count is (ms): 0.2201
wait count is (ms): 0.214027
wait count is (ms): 0.187493
wait count is (ms): 0.189843
wait count is (ms): 0.09408
wait count is (ms): 0.182833
wait count is (ms): 0.176293
wait count is (ms): 0.09885
wait count is (ms): 0.222057
wait count is (ms): 0.3038
wait count is (ms): 0.161613
wait count is (ms): 0.230303
wait count is (ms): 0.12394
wait count is (ms): 0.19862
wait count is (ms): 0.104523
wait count is (ms): 0.207277
wait count is (ms): 0.112293
wait count is (ms): 0.131383
wait count is (ms): 0.171837
wait count is (ms): 0.18888
wait count is (ms): 0.11694
wait count is (ms): 0.24055
wait count is (ms): 0.13954
wait count is (ms): 0.209257
wait count is (ms): 0.172817
wait count is (ms): 0.270873
wait count is (ms): 0.12207
wait count is (ms): 0.255943
wait count is (ms): 0.135427
wait count is (ms): 0.111957
wait count is (ms): 0.168623
wait count is (ms): 0.17215
wait count is (ms): 0.23732
wait count is (ms): 0.23411
wait count is (ms): 0.187547
wait count is (ms): 0.188647
wait count is (ms): 0.13475
wait count is (ms): 0.132357
wait count is (ms): 0.10595
wait count is (ms): 0.20199
wait count is (ms): 0.20972
wait count is (ms): 0.115377
wait count is (ms): 0.142223
wait count is (ms): 0.17218
wait count is (ms): 0.115027
wait count is (ms): 0.136637
wait count is (ms): 0.27193
wait count is (ms): 0.153393
wait count is (ms): 0.102213
wait count is (ms): 0.168753
wait count is (ms): 0.164177
wait count is (ms): 0.121773
wait count is (ms): 0.203187
wait count is (ms): 0.185767
wait count is (ms): 0.104867
wait count is (ms): 0.21321
wait count is (ms): 0.297117
wait count is (ms): 0.12655
wait count is (ms): 0.231367
wait count is (ms): 0.193383
wait count is (ms): 0.1909
wait count is (ms): 0.144507
wait count is (ms): 0.23973
wait count is (ms): 0.19586
wait count is (ms): 0.122833
wait count is (ms): 0.23227
wait count is (ms): 0.134197
wait count is (ms): 0.127493
wait count is (ms): 0.145953
wait count is (ms): 0.183207
wait count is (ms): 0.110693
wait count is (ms): 0.130083
wait count is (ms): 0.197203
wait count is (ms): 0.172807
wait count is (ms): 0.12076
wait count is (ms): 0.35267
wait count is (ms): 0.14804
wait count is (ms): 0.137423
wait count is (ms): 0.26037
wait count is (ms): 0.0982867
wait count is (ms): 0.13774
wait count is (ms): 0.164913
wait count is (ms): 0.133603
wait count is (ms): 0.12179
wait count is (ms): 0.22291
wait count is (ms): 0.160443
wait count is (ms): 0.174837
wait count is (ms): 0.15282
wait count is (ms): 0.12281
wait count is (ms): 0.16106
wait count is (ms): 0.10174
wait count is (ms): 0.20724
wait count is (ms): 0.132997
wait count is (ms): 0.100453
wait count is (ms): 0.16186
wait count is (ms): 0.307327
wait count is (ms): 0.13603
wait count is (ms): 0.141957
wait count is (ms): 0.104983
wait count is (ms): 0.138207
wait count is (ms): 0.14574
wait count is (ms): 0.368457
wait count is (ms): 0.10976
wait count is (ms): 0.183517
wait count is (ms): 0.141123
wait count is (ms): 0.131727
wait count is (ms): 0.12328
wait count is (ms): 0.208293
wait count is (ms): 0.18369
wait count is (ms): 0.127977
wait count is (ms): 0.144323
wait count is (ms): 0.143033
wait count is (ms): 0.15052
wait count is (ms): 0.143057
wait count is (ms): 0.112643
wait count is (ms): 0.17021
wait count is (ms): 0.126963
wait count is (ms): 0.0977167
wait count is (ms): 0.174773
wait count is (ms): 0.19643
wait count is (ms): 0.16496
wait count is (ms): 0.180477
wait count is (ms): 0.129587
wait count is (ms): 0.152853
wait count is (ms): 0.173913
wait count is (ms): 0.119607
wait count is (ms): 0.19171
wait count is (ms): 0.102137
wait count is (ms): 0.169123
wait count is (ms): 0.328157
wait count is (ms): 0.170967
wait count is (ms): 0.136303
wait count is (ms): 0.18935
wait count is (ms): 0.132957
wait count is (ms): 0.141947
wait count is (ms): 0.114523
wait count is (ms): 0.17016
wait count is (ms): 0.11662
wait count is (ms): 0.15437
wait count is (ms): 0.293813
wait count is (ms): 0.0987467
wait count is (ms): 0.14582
wait count is (ms): 0.22577
wait count is (ms): 0.176643
wait count is (ms): 0.144207
wait count is (ms): 0.169813
wait count is (ms): 0.13598
wait count is (ms): 0.13458
wait count is (ms): 0.197347
wait count is (ms): 0.191387
wait count is (ms): 0.102267
